ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
ELV,Elevance Health,Health Care,Managed Health Care,0.115150,-0.2093,6.7444,-7.3514,1.9034,208.2005
NOC,Northrop Grumman,Industrials,Aerospace & Defense,0.114823,-0.2007,-0.2445,17.2340,66.9818,216.0731
FCX,Freeport-McMoRan,Materials,Copper,0.113736,-1.7330,9.9254,49.5112,51.7623,421.6226
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0.112338,0.0163,15.0129,-6.3852,14.9885,77.3719
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,0.111963,-1.3625,-11.8074,-2.5034,41.9414,428.6795
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,0.111523,-2.7827,3.0370,0.2375,151.7861,424.9498
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0.110181,-0.6429,73.9315,148.9056,388.3651,2646.7638
SPG,Simon Property Group,Real Estate,Retail REITs,0.109362,-0.4594,10.1159,30.7675,116.6713,62.0628
SHW,Sherwin-Williams,Materials,Specialty Chemicals,0.109184,-2.3616,-3.9668,-12.8951,14.4765,253.4420
CIEN,Ciena,Information Technology,Communications Equipment,0.108566,0.6015,130.2604,639.2039,962.1499,3253.1135
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,0.108543,-1.4478,2.4567,27.1363,64.6057,231.0519
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0.108164,1.9144,37.1964,32.2902,141.5923,145.1592
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,0.107282,1.9281,55.5187,117.7977,282.7590,566.1642
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0.107214,-1.8596,-23.8034,-15.8564,27.6217,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0.106193,-0.9735,-10.3912,-3.1033,161.1129,1064.7415
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0.106039,2.5960,56.0632,82.2372,399.0663,850.4363
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0.106011,1.1106,-8.0074,17.7465,47.1621,97.9817
CRH,CRH plc,Materials,Construction Materials,0.105560,-4.0277,-10.9052,13.3127,161.3362,405.2695
CI,Cigna,Health Care,Health Care Services,0.105348,-1.2549,2.0561,-14.7839,17.8158,127.1426
MMM,3M,Industrials,Industrial Conglomerates,0.105270,-0.6597,-11.1835,1.4701,1.7162,40.4689
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.104850,-2.4896,-1.9173,25.2290,56.7646,208.3020
NXPI,NXP Semiconductors,Information Technology,Semiconductors,0.104665,-1.5174,34.6489,57.4905,66.3985,292.3767
AEP,American Electric Power,Utilities,Electric Utilities,0.104362,-1.6434,17.7042,29.2163,82.7389,192.8934
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0.104232,-1.2323,25.7357,62.4848,81.0308,332.5260
MSI,Motorola Solutions,Information Technology,Communications Equipment,0.103696,0.3877,14.4595,8.8461,148.9312,586.9281
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,0.103406,-1.4953,2.8183,6.4779,19.8795,207.5683
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.102999,-0.1844,19.2617,24.8844,147.0216,211.5628
ECL,Ecolab,Materials,Specialty Chemicals,0.102920,-1.5105,-2.3789,1.1211,17.9386,147.0455
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0.102022,1.2941,39.4430,72.6770,160.5039,228.0406
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.101067,-2.2692,8.4515,29.5405,145.9515,621.8768
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.100085,-2.2858,-6.4741,14.5012,216.0451,284.1482
NSC,Norfolk Southern,Industrials,Rail Transportation,0.099801,-1.3422,8.4223,40.8794,20.2519,328.3931
LITE,Lumentum,Information Technology,Communications Equipment,0.099376,2.7634,164.8417,1452.9430,1066.0057,3804.7200
DLR,Digital Realty,Real Estate,Data Center REITs,0.098757,-1.0912,29.1847,24.1568,53.9654,206.4570
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,0.098285,3.9234,-32.3165,57.5427,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,0.097656,-2.1659,9.3730,-3.2629,18.5647,50.3160
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.097613,-0.1591,52.1088,89.7787,261.9476,187.4743
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.097318,-0.0924,-6.6906,68.8082,42.1124,204.4986
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,0.096358,-0.0371,-6.4539,215.6909,-26.1774,1.3915
AON,Aon plc,Financials,Insurance Brokers,0.095896,1.0947,-10.5218,-11.1822,28.5106,224.9300
CTAS,Cintas,Industrials,Diversified Support Services,0.095200,-1.6037,-11.0577,-20.4333,99.2599,723.9412
FIX,Comfort Systems USA,Industrials,Construction & Engineering,0.094959,1.3353,102.8236,339.0866,2157.2206,6475.6961
APD,Air Products,Materials,Industrial Gases,0.094714,-0.9034,22.4241,10.3502,16.4539,188.4402
FTNT,Fortinet,Information Technology,Systems Software,0.093150,3.4187,12.3788,-15.9540,115.7849,1287.4377
TDG,TransDigm Group,Industrials,Aerospace & Defense,0.092574,-0.4097,-13.5451,-15.2732,131.8411,712.0519
TRV,Travelers Companies,Financials,Property & Casualty Insurance,0.091419,-1.0469,4.3329,14.5470,109.9123,241.4620
RSG,Republic Services,Industrials,Environmental & Facilities Services,0.090986,-0.0048,-1.9726,-16.6465,102.5547,411.8834
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.090981,-2.9505,-31.9165,-24.6093,-64.6638,-16.8424
COHR,Coherent Corp.,Information Technology,Electronic Components,0.088182,0.1184,78.7344,360.4830,410.9821,1481.4478
SRE,Sempra,Utilities,Multi-Utilities,0.087916,-0.3063,7.6430,28.8705,60.1799,145.8017
TFC,Truist Financial,Financials,Diversified Banks,0.087894,-2.8470,1.5629,31.3957,4.4267,116.9572
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.085914,-0.3008,72.9170,136.5675,150.3920,1256.0402
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,0.085820,-1.4731,4.7099,30.4822,129.2866,341.9646
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.085709,2.9087,42.9970,60.4571,233.3745,230.2739
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,0.085433,-1.0365,-9.4945,38.4288,66.3428,313.4919
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0.085218,2.6571,47.2669,51.6260,148.4223,8.1402
O,Realty Income,Real Estate,Retail REITs,0.084355,-0.5642,14.5181,17.6556,22.2151,68.0170
COR,Cencora,Health Care,Health Care Distributors,0.084223,-0.1118,-9.9393,4.6959,162.8467,384.3422
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,0.082732,-0.8767,32.0300,37.2226,-30.1770,116.0707
URI,United Rentals,Industrials,Trading Companies & Distributors,0.082640,-2.5305,14.5769,40.2722,190.1805,1447.5201
AFL,Aflac,Financials,Life & Health Insurance,0.082494,0.3987,3.3211,9.7197,131.5246,318.1140
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0.082016,-3.1118,2.6755,-7.2968,135.7644,343.3602
LHX,L3Harris,Industrials,Aerospace & Defense,0.081975,-1.5158,5.4927,42.8472,57.6026,401.6597
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,0.081412,0.2988,24.9950,15.5854,124.4585,329.8920
ALL,Allstate,Financials,Property & Casualty Insurance,0.080698,1.5144,6.1650,12.4925,94.0491,319.7144
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,0.079371,1.8484,41.7771,63.6494,709.2530,922.8000
D,Dominion Energy,Utilities,Multi-Utilities,0.078890,-1.5483,8.5865,19.7562,-1.0911,33.2907
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0.078194,1.0390,22.1452,31.7111,73.2970,
CARR,Carrier Global,Industrials,Building Products,0.078029,-2.5584,25.2321,-6.8605,63.2414,
VST,Vistra Corp.,Utilities,Electric Utilities,0.077642,3.5871,-0.1615,16.0772,990.5979,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,0.077074,-0.5642,13.4036,7.8895,163.8562,482.0738
CVNA,Carvana,Consumer Discretionary,Automotive Retail,0.076912,-1.5813,-10.7744,46.4605,30.1905,
COIN,Coinbase,Financials,Financial Exchanges & Data,0.076429,6.1386,-10.2370,-0.9467,-27.6741,
ETR,Entergy,Utilities,Electric Utilities,0.075982,-0.0258,27.4531,41.3273,157.0984,347.2225
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.075844,-0.5190,-19.7562,-36.8490,49.9247,419.0257
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,0.075323,-2.3102,74.4064,346.3504,179.8794,1807.1229
AME,Ametek,Industrials,Electrical Components & Equipment,0.075303,-0.0217,12.4133,36.3750,74.9929,424.6905
ADSK,Autodesk,Information Technology,Application Software,0.074470,1.3055,-16.3745,-11.5897,-11.5075,321.4882
DDOG,Datadog,Information Technology,Application Software,0.074445,4.3834,7.8682,39.7048,88.4023,
PSA,Public Storage,Real Estate,Self-Storage REITs,0.073926,-2.0527,14.9775,2.5696,31.2950,70.9897
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,0.073619,-0.0219,-5.7046,18.2021,79.2277,413.6825
MCHP,Microchip Technology,Information Technology,Semiconductors,0.073528,1.4369,50.4412,104.8631,45.9714,376.6154
FAST,Fastenal,Industrials,Trading Companies & Distributors,0.073462,-0.0668,13.0545,11.5928,89.9322,411.9721
NUE,Nucor,Materials,Steel,0.073321,-0.1018,38.9125,86.4151,171.7768,481.7941
MET,MetLife,Financials,Life & Health Insurance,0.072626,-1.5954,0.7294,4.4843,42.8923,182.9127
XEL,Xcel Energy,Utilities,Multi-Utilities,0.072235,-1.7074,10.7094,18.3234,32.4068,169.2159
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.072011,-0.1336,-1.1349,34.1399,51.1995,235.7585
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,0.069211,5.0543,25.9420,61.6175,106.8390,417.8930
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0.068499,-0.7740,-2.2522,10.1520,-10.6955,140.8382
EXC,Exelon,Utilities,Electric Utilities,0.067996,0.2366,7.8438,3.8487,73.9966,163.3150
ZTS,Zoetis,Health Care,Pharmaceuticals,0.067818,-1.2964,-9.6699,-27.3181,-31.7965,160.1691
CAH,Cardinal Health,Health Care,Health Care Distributors,0.066116,0.9322,-3.6350,33.2730,256.5802,237.1584
