ticker,name,sector,industry,weight,change
ERIE,Erie Indemnity,Financials,Insurance Brokers,0.02,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0.02,
AIZ,Assurant,Financials,Multi-line Insurance,0.02,
GL,Globe Life,Financials,Life & Health Insurance,0.02,
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.02,
FDS,FactSet,Financials,Financial Exchanges & Data,0.01,
GOOGL,Alphabet Inc. A,Communication Services,Interactive Media & Services,3,
GOOG,Alphabet Inc. C,Communication Services,Interactive Media & Services,2.8,
META,Meta Platforms,Communication Services,Interactive Media & Services,2.4,
NFLX,Netflix,Communication Services,Movies & Entertainment,0.7,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0.4,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0.4,
T,AT&T,Communication Services,Integrated Telecommunication Services,0.4,
DIS,Walt Disney Company,Communication Services,Movies & Entertainment,0.3,
CMCSA,Comcast,Communication Services,Cable & Satellite,0.2,
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,0.1,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.1,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,0.1,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.1,
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,0.1,
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.1,
OMC,Omnicom Group,Communication Services,Advertising,0.04,
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0.03,
FOX,Fox Corporation B,Communication Services,Broadcasting,0.02,
FOXA,Fox Corporation A,Communication Services,Broadcasting,0.02,
TTD,"The Trade Desk,",Communication Services,Advertising,0.02,
Paramount Skydance Corp,Paramount Skydance Corp,Communication Services,Other,0.02,
NWSA,News Corp A,Communication Services,Publishing,0.02,
NWS,News Corp B,Communication Services,Publishing,0.01,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,3.7,
TSLA,"Tesla,",Consumer Discretionary,Automobile Manufacturers,2.3,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,0.6,
MCD,McDonald's,Consumer Discretionary,Restaurants,0.4,
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0.3,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,0.2,
