ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
PGR,Progressive,Financials,Property & Casualty Insurance,0.2,1.1205,-4.2798,-17.8199,129.5865,708.2236
COF,Capital One,Financials,Consumer Finance,0.2,-0.2494,-14.6959,28.2536,71.4000,226.2924
CME,CME Group,Financials,Financial Exchanges & Data,0.2,0.0782,7.9379,13.8515,72.1261,355.2387
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0.2,-0.1861,-0.3088,2.6415,43.3364,276.5943
BX,Blackstone,Financials,Asset Management & Custody Banks,0.2,0.1162,-15.1862,2.4846,92.7885,586.6484
MRSH,"Marsh & McLennan Companies,",Financials,Insurance Brokers,0.2,-1.3879,-5.5969,-19.7159,46.8830,225.7468
PNC,PNC Financial Services,Financials,Diversified Banks,0.1,1.0898,10.5560,54.2077,58.7910,258.8410
KKR,KKR,Financials,Asset Management & Custody Banks,0.1,0.0676,-18.5293,0.9169,105.7398,737.1648
BK,BNY Mellon,Financials,Asset Management & Custody Banks,0.1,0.3331,17.2801,81.2985,235.0872,340.8413
USB,U.S. Bancorp,Financials,Diversified Banks,0.1,0.9573,8.8240,56.8415,27.0025,93.9521
MCO,Moody's,Financials,Financial Exchanges & Data,0.1,-0.1054,-10.7658,7.9102,46.4791,397.2348
AON,Aon,Financials,Insurance Brokers,0.1,-0.2064,-6.1678,-9.4994,46.0424,246.8632
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0.1,1.1234,-12.5900,0.9233,172.9699,997.5255
TRV,Travelers Companies,Financials,Property & Casualty Insurance,0.1,1.2417,5.3761,20.9149,115.8232,226.7987
HOOD,"Robinhood Markets,",Financials,Investment Banking & Brokerage,0.1,-0.8926,-20.4775,118.4070,,
AFL,Aflac,Financials,Life & Health Insurance,0.1,0.5414,4.9712,9.4903,145.5095,327.1639
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.1,-0.2031,-14.2795,-32.1577,71.0177,475.1029
TFC,Truist Financial,Financials,Diversified Banks,0.1,0.8503,4.6829,48.8999,15.8399,116.6359
ALL,Allstate,Financials,Property & Casualty Insurance,0.1,0.4071,4.7986,13.6915,99.2996,304.1587
NDAQ,"Nasdaq,",Financials,Financial Exchanges & Data,0.1,-0.9028,-9.3091,23.1337,76.5435,382.1054
MET,MetLife,Financials,Life & Health Insurance,0.1,-0.2946,-0.6741,10.4982,48.1585,164.1238
COIN,Coinbase Global,Financials,Financial Exchanges & Data,0.1,-0.0485,-8.8043,17.8255,-35.7179,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,0.1,-0.5078,-13.1465,-16.6848,-80.7804,26.8021
FITB,Fifth Third Bancorp,Financials,Regional Banks,0.1,1.3011,9.9245,54.6837,68.7402,293.6745
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.1,0.4559,-6.2621,-0.0682,103.7517,470.6406
AIG,American International Group,Financials,Multi-line Insurance,0.1,0.3432,-7.1704,-0.5121,94.1997,80.6702
MSCI,MSCI,Financials,Financial Exchanges & Data,0.1,-1.5680,-2.0723,3.7107,26.1350,726.3264
HIG,Hartford,Financials,Property & Casualty Insurance,0.1,0.5596,2.4849,21.3731,136.6833,274.1058
STT,State Street,Financials,Asset Management & Custody Banks,0.1,2.7333,17.3467,89.0116,122.9959,222.5222
XYZ,"Block,",Financials,Transaction & Payment Processing Services,0.1,2.0067,11.6762,34.8609,-70.3910,433.3089
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0.1,0.5021,2.2519,5.9523,162.8556,335.8834
PRU,Prudential Financial,Financials,Life & Health Insurance,0.1,0.6395,-8.1435,8.3264,35.5134,103.4246
HBAN,Huntington Bancshares,Financials,Regional Banks,0.1,1.5133,-0.4091,29.9416,40.8578,151.5380
MTB,M&T Bank,Financials,Regional Banks,0.1,1.2455,10.7093,42.4213,73.4404,144.6767
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0.1,1.2369,21.2748,40.6210,209.9902,424.3727
FISV,"Fiserv,",Financials,Transaction & Payment Processing Services,0.1,0.7816,-4.0196,-69.1028,-48.2418,29.5098
IBKR,Interactive Brokers Group,Financials,Investment Banking & Brokerage,0.1,-0.3304,26.7726,105.2588,351.0626,766.9983
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0.1,1.0544,-3.8275,16.4384,94.9285,444.3611
WTW,Willis Towers Watson,Financials,Insurance Brokers,0.1,0.3595,-8.7940,-5.8395,34.5270,180.8732
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,0.04,0.5875,17.8655,85.8757,73.3854,190.5549
WRB,W. R. Berkley,Financials,Property & Casualty Insurance,0.04,0.1272,-4.4498,-0.1407,110.2029,398.3034
CFG,Citizens Financial Group,Financials,Regional Banks,0.04,1.2103,12.4603,90.7335,88.2631,305.0665
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,0.04,-0.4639,-26.7378,-33.6054,-64.2514,-13.3313
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0.04,0.7403,3.5066,29.9995,77.7822,234.0496
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.04,-0.5476,-26.5423,-14.2854,150.9035,1047.1132
SYF,Synchrony Financial,Financials,Consumer Finance,0.04,1.0340,-4.7438,68.3566,123.8081,224.7259
BRO,Brown & Brown,Financials,Insurance Brokers,0.04,0.0295,-14.8109,-41.7867,41.9350,327.1216
L,Loews,Financials,Multi-line Insurance,0.04,0.4850,6.3095,31.4731,111.2504,193.1402
RF,Regions Financial,Financials,Regional Banks,0.04,0.9598,5.8045,53.3039,73.8710,344.2603
KEY,KeyCorp,Financials,Regional Banks,0.04,1.1009,7.8402,61.5191,41.3652,174.3426
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0.03,0.5117,11.7710,8.9471,18.1220,119.5513
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,0.03,0.8868,-3.0112,19.7560,-30.4030,80.4017
PFG,Principal Financial Group,Financials,Life & Health Insurance,0.03,0.1664,10.1877,38.6969,87.4943,222.5661
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0.03,-0.8348,-27.2088,-30.3059,10.7092,217.3867
GPN,Global Payments,Financials,Transaction & Payment Processing Services,0.03,0.3731,-5.8418,5.8853,-64.3013,0.8486
EG,Everest Group,Financials,Reinsurance,0.02,0.5334,4.7801,2.2067,48.2531,120.6811
ERIE,Erie Indemnity,Financials,Insurance Brokers,0.02,2.0465,-11.8869,-38.0266,22.7638,232.4701
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0.02,0.3850,16.2624,64.3470,20.3982,9.3140
AIZ,Assurant,Financials,Multi-line Insurance,0.02,0.2810,-4.7839,22.7631,61.4876,241.4115
GL,Globe Life,Financials,Life & Health Insurance,0.02,0.1054,9.1634,26.4464,53.4935,189.8623
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.02,0.7054,-4.1239,103.1918,19.4553,21.4327
FDS,FactSet,Financials,Financial Exchanges & Data,0.01,-0.5543,-19.8338,-45.0179,-23.6958,63.1629
GOOGL,Alphabet Inc. A,Communication Services,Interactive Media & Services,3,-0.9044,8.2519,124.7711,199.5936,781.0935
GOOG,Alphabet Inc. C,Communication Services,Interactive Media & Services,2.8,-0.8680,7.2948,120.1468,195.7899,801.3679
META,Meta Platforms,Communication Services,Interactive Media & Services,2.4,-2.3310,1.9673,34.5214,123.9476,502.8976
NFLX,Netflix,Communication Services,Movies & Entertainment,0.7,-3.4220,0.2346,-3.4151,71.0064,871.1688
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0.4,0.4806,-1.7065,-22.9074,58.2358,414.5125
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0.4,0.7519,18.9083,13.6704,9.5535,54.1551
T,AT&T,Communication Services,Integrated Telecommunication Services,0.4,0.2641,9.3924,2.1733,60.9259,82.8474
DIS,Walt Disney Company,Communication Services,Movies & Entertainment,0.3,-0.1223,-6.6889,26.5583,-40.5547,11.5270
CMCSA,Comcast,Communication Services,Cable & Satellite,0.2,1.4512,9.8272,-1.5587,-30.9393,34.1477
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,0.1,0.2366,-4.4587,239.5191,-22.3710,-2.2195
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.1,-0.1668,-0.3169,40.3493,48.3378,218.3687
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,0.1,1.1130,-16.2598,0.7661,20.5171,483.2427
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.1,0.1533,10.0351,23.2511,99.8725,619.9265
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,0.1,1.1936,24.0110,519.7701,464.0168,307.2049
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.1,3.0154,16.7689,-28.0874,-62.6406,22.9658
OMC,Omnicom Group,Communication Services,Advertising,0.04,0.1780,-1.4287,11.8378,19.1400,33.1497
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0.03,-0.8642,-11.2711,25.5030,250.3970,1164.0745
FOX,Fox Corporation B,Communication Services,Broadcasting,0.02,0.3930,-9.0162,33.2167,71.9441,
FOXA,Fox Corporation A,Communication Services,Broadcasting,0.02,0.8299,-9.7689,38.0772,85.1279,
TTD,"The Trade Desk,",Communication Services,Advertising,0.02,1.3574,-40.0026,-54.6856,-66.8037,
PSKY,Paramount Skydance Corp,Communication Services,Movies & Entertainment,0.02,0.2981,-11.6725,9.3532,-64.9919,-73.4843
NWSA,News Corp A,Communication Services,Publishing,0.02,-0.2307,-0.2357,1.1111,2.4801,132.6790
NWS,News Corp B,Communication Services,Publishing,0.01,-0.1669,1.3172,0.3770,26.3939,158.4510
AMZN,Amazon,Consumer Discretionary,Broadline Retail,3.7,-1.6363,6.7758,42.7843,47.8158,678.7169
TSLA,"Tesla,",Consumer Discretionary,Automobile Manufacturers,2.3,-2.1492,-12.8324,62.4104,63.5670,2252.3423
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,0.6,-0.4894,1.7188,0.3995,21.2763,226.7351
MCD,McDonald's,Consumer Discretionary,Restaurants,0.4,-0.8479,1.5753,1.4654,48.4334,205.7558
